原文全名,游戏内姓名字段,电脑端/本项目中文名,身份或备注,依据,置信度
瀬和 環,環,濑和环,主角,公开中文角色表与日文官方角色名,高
倉科 双葉,双葉,仓科双叶,青梅竹马,公开中文角色表与日文官方角色名,高
椎名 朧,朧,椎名胧,同学/剧团成员,公开中文角色表与日文官方角色名,高
白坂 ハナ,ハナ,白坂花,服装制作负责人,公开中文角色表与日文官方角色名,高
架橋 琥珀,琥珀,架桥琥珀,女演员,公开中文角色表与日文官方角色名,高
匂宮 めぐり,めぐり,匂宫巡,剧团成员,公开中文角色表与日文官方角色名,高
箱鳥 理世,理世,箱鸟理世,剧团事务员,公开中文角色表与日文官方角色名,高
天使 奈々菜,奈々菜,天使奈奈菜,女演员,公开中文角色表与日文官方角色名,高
龍木 悠苑,悠苑,龙木悠苑,剧团成员,公开中文角色表与日文官方角色名,高
天樂 来々,来々,天乐来来,剧团座长,公开中文角色表与日文官方角色名,高
折原 氷狐,氷狐,折原冰狐,艺名/已故女演员,公开中文角色表与日文官方角色名,高
瀬和 未来,未来,濑和未来,折原冰狐真名,游戏文本自述与公开中文资料,高
折原 京子,京子,折原京子,相关人物,游戏文本全名与公开资料,高
匂宮 王海,王海,匂宫王海,前座长/演出家,游戏文本全名与公开资料,高
天使 美嘉,美嘉,天使美嘉,相关人物,游戏文本全名与公开资料,高
