类别,原文,中文,备注,状态
人物名,瀬和 環,濑和环,主角；游戏内独立姓名记录为「環」,已核对
人物名,倉科 双葉,仓科双叶,青梅竹马；游戏内独立姓名记录为「双葉」,已核对
人物名,椎名 朧,椎名胧,游戏内独立姓名记录为「朧」,已核对
人物名,白坂 ハナ,白坂花,游戏内独立姓名记录为「ハナ」,已核对
人物名,架橋 琥珀,架桥琥珀,游戏内独立姓名记录为「琥珀」,已核对
人物名,匂宮 めぐり,匂宫巡,游戏内独立姓名记录为「めぐり」,已核对
人物名,箱鳥 理世,箱鸟理世,游戏内独立姓名记录为「理世」,已核对
人物名,天使 奈々菜,天使奈奈菜,游戏内独立姓名记录为「奈々菜」,已核对
人物名,龍木 悠苑,龙木悠苑,游戏内独立姓名记录为「悠苑」,已核对
人物名,天樂 来々,天乐来来,游戏内独立姓名记录为「来々」,已核对
人物名,折原 氷狐,折原冰狐,艺名；游戏内独立姓名记录为「氷狐」,已核对
人物名,瀬和 未来,濑和未来,真名；游戏内独立姓名记录为「未来」,已核对
人物名,折原 京子,折原京子,配角/相关人物；独立姓名记录为「京子」,已核对
人物名,匂宮 王海,匂宫王海,配角/前座长；独立姓名记录为「王海」,已核对
人物名,天使 美嘉,天使美嘉,配角；独立姓名记录为「美嘉」,已核对
